2026-07-22 13:50:17,956 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5200.00. Consecutive wins: 1
2026-07-22 13:50:17,956 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5000.00 >= ₹5000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-22 13:50:17,957 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5000.00)
2026-07-22 13:50:17,957 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5000.00. Consecutive wins: 1
2026-07-22 13:50:17,957 | INFO     | risk_manager | New trading day detected (2026-07-22) — resetting daily profit target & counters, preserving equity/drawdown state.
2026-07-22 13:50:23,671 | INFO     | risk_manager | Loss registered on SBIN_26JUL23_1020_CE (ema_supertrend): -87.12. Consecutive losses: 1
2026-07-22 13:53:38,912 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:53:38,913 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:53:38,913 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:53:38. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:53:38,913 | INFO     | risk_manager | Position size reduced 50% after 2 consecutive losses.
2026-07-22 13:53:38,913 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:53:38,914 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:53:38,914 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:53:38,914 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:53:38. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:53:38,914 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -600.00. Consecutive losses: 1
2026-07-22 13:53:38,914 | WARNING  | risk_manager | Trading halted for today: max_daily_loss_hit(-600.00)
2026-07-22 13:53:38,915 | CRITICAL | risk_manager | EMERGENCY STOP TRIGGERED: test
2026-07-22 13:53:38,915 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:53:38,915 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:53:38,915 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:53:38. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:53:38,915 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 1
2026-07-22 13:53:38,915 | INFO     | risk_manager | Consecutive win streak achieved — position sizing restored to normal.
2026-07-22 13:53:38,915 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 2
2026-07-22 13:53:38,916 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5200.00 >= ₹5000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-22 13:53:38,916 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5200.00)
2026-07-22 13:53:38,916 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5200.00. Consecutive wins: 1
2026-07-22 13:53:38,916 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5000.00 >= ₹5000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-22 13:53:38,916 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5000.00)
2026-07-22 13:53:38,916 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5000.00. Consecutive wins: 1
2026-07-22 13:53:38,917 | INFO     | risk_manager | New trading day detected (2026-07-22) — resetting daily profit target & counters, preserving equity/drawdown state.
